#separator:tab
#html:true
#notetype:Basic
#deck:TS Programming language
#columns:Front	Back
What does <code>OmitThisParameter&lt;T&gt;</code> do in TypeScript? Give an example.	Removes the <code>this</code> parameter from a function type. If <code>Type</code> has no explicitly declared <code>this</code> parameter, the result is simply <code>Type</code>.<br><br><pre><code>function f(this: object, a: string) {}<br>type F = OmitThisParameter&lt;typeof f&gt;; // (a: string) =&gt; void</code></pre>
What does <code>ThisType&lt;T&gt;</code> do in TypeScript? Give an example.	Marker to declare what <code>this</code> refers to in an object literal (needs <code>noImplicitThis</code>). No runtime effect.<br><br><pre><code>type Obj = { x: number; get(): number } &amp; ThisType&lt;{ x: number }&gt;;</code></pre>
What do <code>Uppercase&lt;S&gt; / Lowercase&lt;S&gt; / Capitalize&lt;S&gt; / Uncapitalize&lt;S&gt;</code> do in TypeScript? Give an example.	Transform string literal types: all-upper, all-lower, first-letter-upper, first-letter-lower.<br><br><pre><code>type A = Uppercase&lt;'hi'&gt;; // 'HI'<br>type B = Lowercase&lt;'Hi'&gt;; // 'hi'<br>type C = Capitalize&lt;'hi'&gt;; // 'Hi'<br>type D = Uncapitalize&lt;'Hi'&gt;; // 'hi'</code></pre>
What does <code>NoInfer&lt;T&gt;</code> (TS 5.4+) do in TypeScript? Give an example.	Blocks type-argument <b>inference</b> at that position, forcing use of the explicit / default type.<br><br><pre><code>function f&lt;T&gt;(a: T, b: NoInfer&lt;T&gt;) {}<br>f('a', 'b'); // ok<br>// f('a', 1); // Error: T inferred as string from a only</code></pre>
What does a <code>union</code> type (<code>A | B</code>) do in TypeScript? Give an example.	Allows a value to be <b>one of</b> several types. You can only access <b>common</b> members until the type is narrowed.<br><br><pre><code>let id: string | number;<br>id = 'a'; // ok<br>id = 1; // ok<br>// id = true; // Error</code></pre>
What does an <code>intersection</code> type (<code>A &amp; B</code>) do in TypeScript? Give an example.	Combines types: the value must satisfy <b>all</b> members (has every property).<br><br><pre><code>interface A { name: string }<br>interface B { age: number }<br>type C = A &amp; B;<br>const u: C = { name: 'Ann', age: 3 }; // needs both</code></pre>
What is a <code>discriminated union</code> in TypeScript? Give an example.	A union of object types sharing a common literal field (the <b>discriminant</b>, e.g. <code>kind</code>) used to tell members apart and get exhaustive checking.<br><br><pre><code>type Shape = { kind: 'circle'; r: number } | { kind: 'square'; size: number };<br>function area(s: Shape) {<br> switch (s.kind) {<br> case 'circle': return Math.PI * s.r ** 2;<br> case 'square': return s.size ** 2;<br> }<br>}</code></pre>
How do you <code>narrow</code> a union type in TypeScript? Give an example.	Use <code>typeof</code>, <code>in</code>, <code>instanceof</code>, discriminant checks, or custom type guards (<code>x is T</code>) so TS refines to one member.<br><br><pre><code>function f(x: string | number) {<br> if (typeof x === 'string') return x.toUpperCase();<br> return x.toFixed(1); // x: number here<br>}</code></pre>
What does <code>any</code> (top type, unsafe) do in TypeScript? Give an example.	The <b>top type</b> that opts out of checking: anything is assignable to it and it is assignable to anything. Avoid; prefers <code>unknown</code>.<br><br><pre><code>let a: any = 1;<br>a = 'x'; // ok<br>a.foo.bar(); // ok (no check!)<br>const n: number = a; // ok (unsafe)</code></pre>
What does <code>unknown</code> (top type, safe) do in TypeScript? Give an example.	Type-safe <b>top type</b>: anything is assignable to it, but you must <b>narrow</b> before use. Prefer over <code>any</code> for untrusted data.<br><br><pre><code>let u: unknown = JSON.parse('{"n":1}');<br>// u.n; // Error: must narrow first<br>if (typeof u === 'object' &amp;&amp; u !== null &amp;&amp; 'n' in u) {<br> console.log((u as { n: number }).n);<br>}</code></pre>
What does <code>never</code> (bottom type) do in TypeScript? Give an example.	<b>Bottom type</b>: no value is assignable to it except <code>never</code>. Used for impossible cases and exhaustive checks; functions that never return.<br><br><pre><code>function fail(msg: string): never { throw new Error(msg); }<br>type T = Exclude&lt;'a' | 'b', 'a' | 'b'&gt;; // never (empty union)<br>function assertNever(x: never): never { throw new Error('unreachable'); }</code></pre>
What does <code>void</code> do in TypeScript? Give an example.	Means <b>no useful return</b> (function returns <code>undefined</code>). Only <code>undefined</code> is assignable to it (plus <code>never</code>). Unlike <code>never</code>, the function does return.<br><br><pre><code>function log(msg: string): void { console.log(msg); }<br>const v: void = undefined; // ok<br>// const v2: void = 1; // Error</code></pre>
What is a <code>tuple</code> type in TypeScript? Give an example.	Fixed-length array with <b>per-position types</b>. No runtime tuple — compiles to a plain <code>Array</code>; length and order are checked only by TS.<br><br><pre><code>let t: [string, number] = ['Ann', 30];<br>t[0].toUpperCase(); // ok (string)<br>// t = [30, 'Ann']; // Error (order matters)<br>type Rest = [string, ...number[]]; // rest element</code></pre>
What is an <code>enum</code> in TypeScript? Give an example.	Named set of constants with no JS equivalent (emits a real object). Prefer string unions or <code>as const</code> objects for light cases; use <code>const enum</code> only if you accept its caveats.<br><br><pre><code>enum Dir { Up, Down, Left, Right }<br>const d: Dir = Dir.Up; // 0<br>enum Role { Admin = 'ADMIN', User = 'USER' }<br>const r: Role = Role.Admin;</code></pre>
What is a <code>literal</code> type in TypeScript? Give an example.	Narrows a type to exact values (<code>'a' | 1 | true</code>). No literal-type syntax in JS — combined with unions it models finite states; <code>as const</code> infers literals.<br><br><pre><code>let dir: 'up' | 'down' = 'up';<br>// dir = 'left'; // Error<br>const cfg = { mode: 'dev' } as const; // mode: 'dev', not string</code></pre>
What is <code>structural typing</code> in TypeScript (vs nominal)? Give an example.	Types are compatible by <b>shape</b>, not by name or declaration. If A has all members B requires, A is assignable to B — even with no <code>implements</code> or common ancestor.<br><br><pre><code>interface Point { x: number; y: number }<br>const p = { x: 1, y: 2, label: 'a' };<br>const q: Point = p; // ok: shape matches, names irrelevant</code></pre>
How does <code>duck typing / extra properties</code> work in assignment? Give an example.	An object with <b>more</b> properties is still assignable if it has at least the required ones. Missing or mistyped required members fail.<br><br><pre><code>interface User { name: string }<br>const u = { name: 'Ann', age: 30 };<br>const v: User = u; // ok: extra age ignored<br>// const w: User = { age: 30 }; // Error: name missing</code></pre>
What is an <code>excess property check</code> in TypeScript? Give an example.	Fresh object literals get <b>strict</b> checking: unknown properties are an error, unlike the same shape via a variable. Catches typos.<br><br><pre><code>interface User { name: string }<br>// const u: User = { name: 'Ann', age: 30 }; // Error: age excess<br>const tmp = { name: 'Ann', age: 30 };<br>const v: User = tmp; // ok: not a fresh literal</code></pre>
How does <code>function assignability</code> work structurally? Give an example.	A function with <b>fewer params</b> is assignable where more are expected; return types must be <b>covariant</b> (assignable to target return).<br><br><pre><code>type F = (a: string, b: number) =&gt; void;<br>const f: F = (a: string) =&gt; console.log(a); // ok: b ignored<br>// const g: F = (a: number) =&gt; {}; // Error: param mismatch</code></pre>
Are <code>classes</code> structural in TypeScript? What is the <code>private / protected</code> exception? Give an example.	Yes — classes compare by shape too, except <code>private / protected</code> members make them <b>nominal-like</b>: only same-declared class is compatible.<br><br><pre><code>class A { x = 1; }<br>class B { x = 1; }<br>const a: A = new B(); // ok: same shape<br>class C { private x = 1; }<br>// const c: C = new A(); // Error: private from different class</code></pre>
What does <code>satisfies</code> do for structural checking? Give an example.	Checks that a value <b>structurally matches</b> a type without widening it — keeps the precise inferred / literal type for later use.<br><br><pre><code>const cfg = { mode: 'dev', retries: 3 } satisfies Record&lt;string, string | number&gt;;<br>cfg.mode; // 'dev' kept, not string | number<br>// const bad = { mode: 'dev' } satisfies { mode: string; extra: number }; // Error</code></pre>
What does <code>as</code> (type assertion) do in TypeScript? Give an example.	Tells TS to treat a value as a narrower / overlapping type. <b>No runtime effect</b> — only allowed when types overlap; use <code>as unknown as T</code> for incompatible casts.<br><br><pre><code>let u: unknown = 'hi';<br>const s = u as string; // ok: unknown overlaps everything<br>const n = 'hi' as unknown as number; // forced (unsafe!)<br>// const x = 'hi' as number; // Error: no overlap</code></pre>
What does non-null assertion (<code>!</code>) do in TypeScript? Give an example.	Asserts a <code>null | undefined</code> value is present. Removes them from the type, <b>no runtime check</b> — throws at runtime if you are wrong. Prefer narrowing.<br><br><pre><code>function f(s?: string) {<br> return s!.toUpperCase(); // assert defined<br>}<br>// f(); // Runtime Error, compiles fine!</code></pre>
What is a <code>type predicate</code> (<code>x is T</code>) in TypeScript? Give an example.	A return type marking a custom <b>type guard</b>: if it returns <code>true</code>, TS narrows the argument to <code>T</code> in the true branch.<br><br><pre><code>function isStr(x: unknown): x is string {<br> return typeof x === 'string';<br>}<br>function f(x: unknown) {<br> if (isStr(x)) x.toUpperCase(); // x: string here<br>}</code></pre>
What does <code>asserts x is T / asserts cond</code> do in TypeScript? Give an example.	Assertion signature: if the call returns (does not throw), TS <b>narrows after it</b>. Unlike predicates, no <code>if</code> needed — failure throws.<br><br><pre><code>function assertStr(x: unknown): asserts x is string {<br> if (typeof x !== 'string') throw new Error('not str');<br>}<br>function f(x: unknown) {<br> assertStr(x);<br> x.toUpperCase(); // x: string here<br>}</code></pre>
When to use <code>as vs is vs satisfies</code> in TypeScript? Give an example.	<code>as</code> overrides (unsafe, no check). <code>is / asserts</code> prove with runtime code (safe narrowing). <code>satisfies</code> checks structure while keeping inferred type.<br><br><pre><code>const a = JSON.parse('1') as number; // trust me, unchecked<br>function isNum(x: unknown): x is number { return typeof x === 'number'; }<br>const cfg = { mode: 'dev' } satisfies { mode: string }; // checked, keeps 'dev'</code></pre>
How does <code>typeof</code> narrowing work in TypeScript? Give an example.	In a <code>typeof x === '...'</code> branch TS refines primitives (<code>string | number | boolean | ...</code>). The else branch is the remainder. Only works for <code>typeof</code>-distinguishable types.<br><br><pre><code>function f(x: string | number) {<br> if (typeof x === 'string') return x.toUpperCase(); // x: string<br> return x.toFixed(1); // x: number<br>}</code></pre>
How does <code>truthiness / nullish</code> narrowing work? Give an example.	<code>if (x)</code> removes falsy (<code>false, 0, '', null, undefined, NaN</code>); explicit <code>x != null</code> or <code>x !== undefined</code> removes only nullish. TS tracks it per branch.<br><br><pre><code>function f(s?: string) {<br> if (!s) return; // early return<br> s.toUpperCase(); // s: string here<br>}</code></pre>
How does the <code>in</code> operator narrow in TypeScript? Give an example.	<code>'prop' in obj</code> narrows object unions to members that <b>have</b> that property (true branch) vs those that do not (false branch).<br><br><pre><code>type A = { kind: string; a: number } | { kind: string; b: number };<br>function f(x: A) {<br> if ('a' in x) return x.a; // has a<br> return x.b; // other member<br>}</code></pre>
How do <code>instanceof</code> and <code>Array.isArray</code> narrow? Give an example.	<code>x instanceof C</code> narrows class unions via the prototype chain; <code>Array.isArray(x)</code> is the built-in guard for arrays (works cross-realm, unlike <code>instanceof Array</code>).<br><br><pre><code>function f(x: Date | string[]) {<br> if (Array.isArray(x)) return x.length; // string[]<br> return x.getTime(); // Date<br>}</code></pre>
How do you get <code>exhaustive</code> narrowing with <code>never</code>? Give an example.	After handling all union members, the remainder should be <code>never</code>. Assign it to <code>never</code> (or call <code>assertNever</code>) so adding a member becomes a compile error.<br><br><pre><code>type S = { kind: 'a' } | { kind: 'b' };<br>function f(s: S) {<br> if (s.kind === 'a') return 1;<br> if (s.kind === 'b') return 2;<br> const bad: never = s; // Error if a case is missing<br> return bad;<br>}</code></pre>
How do you narrow with <code>filter + type predicate</code>? Give an example.	Plain <code>filter(Boolean)</code> or callbacks returning <code>boolean</code> do not narrow; give the callback a predicate return (<code>x is T</code>) so the result array is typed.<br><br><pre><code>const xs: (string | null)[] = ['a', null, 'b'];<br>const ys = xs.filter((x): x is string =&gt; x !== null);<br>// ys: string[], not (string | null)[]</code></pre>
What are <code>function overloads</code> in TypeScript? Give an example.	Multiple call <b>signatures</b> for one function, with a single hidden <b>implementation</b>. Callers see only the overloads; the body must handle all of them.<br><br><pre><code>function f(x: string): string;<br>function f(x: number): number;<br>function f(x: unknown): unknown { return x; }<br>f('a'); // string<br>f(1); // number</code></pre>
Why does <code>overload order</code> matter? Give an example.	TS picks the <b>first matching</b> overload, so list narrow / specific signatures before broad ones. A broad first signature shadows the rest.<br><br><pre><code>function f(x: unknown): string;<br>function f(x: string): string;<br>function f(x: unknown): string { return String(x); }<br>// f('a') matches (x: unknown) first — specific one never used</code></pre>
What are the <code>implementation signature</code> rules for overloads? Give an example.	It is <b>not callable</b> from outside and must be <b>general enough</b> to cover every overload (params compatible, return broad). Mismatches are compile errors.<br><br><pre><code>function f(x: string): string;<br>function f(x: number): number;<br>// function f(x: string): string | number { return x; } // Error: misses number<br>function f(x: string | number): string | number {<br> return typeof x === 'string' ? x : x.toFixed();<br>}</code></pre>
When to use <code>overloads vs unions / optionals / generics</code>? Give an example.	Prefer unions / optionals / generics when one signature expresses it. Use overloads only when <b>input-output mapping</b> differs per call shape and a single signature loses it.<br><br><pre><code>// Lost mapping: (x: string | number) =&gt; string | number<br>function f(x: string): string;<br>function f(x: number): number;<br>function f(x: string | number): string | number {<br> return typeof x === 'string' ? x : x.toFixed();<br>}</code></pre>
What does <code>keyof T</code> do in TypeScript? Give an example.	Gives the <b>union of property names</b> of T as literal types. Used with indexed access and generics to stay in sync with the shape.<br><br><pre><code>interface User { name: string; age: number }<br>type K = keyof User; // 'name' | 'age'<br>function get&lt;T, K extends keyof T&gt;(o: T, k: K): T[K] { return o[k]; }</code></pre>
What does an <code>indexed access</code> type (<code>T[K]</code>) do? Give an example.	Looks up the <b>property type</b> for key(s) K in T. Unions of keys give unions of value types.<br><br><pre><code>interface User { name: string; age: number }<br>type N = User['name']; // string<br>type V = User['name' | 'age']; // string | number<br>type E = User[keyof User]; // string | number</code></pre>
What is a <code>mapped type</code> in TypeScript? Give an example.	Builds a new object type by transforming each property <code>K in Keys</code>. Powers <code>Partial / Readonly / Record / Pick</code>.<br><br><pre><code>type Opt&lt;T&gt; = { [K in keyof T]?: T[K] };<br>interface U { name: string; age: number }<br>type P = Opt&lt;U&gt;; // { name?: string; age?: number }</code></pre>
How do mapped-type <code>modifiers (+/-/?/readonly/as)</code> work? Give an example.	<code>-? / +?</code> remove / add optionality, <code>-readonly / +readonly</code> mutability, <code>as</code> remaps or filters keys.<br><br><pre><code>type Req&lt;T&gt; = { [K in keyof T]-?: T[K] };<br>type Getters&lt;T&gt; = { readonly [K in keyof T as `get${Capitalize&lt;string &amp; K&gt;}`]: () =&gt; T[K] };</code></pre>
What is a <code>conditional type</code> in TypeScript? Give an example.	A type-level <code>if</code>: <code>T extends U ? X : Y</code>. Distributes over <b>naked</b> union T (applies per member); wrap in <code>[T]</code> to stop distribution.<br><br><pre><code>type IsStr&lt;T&gt; = T extends string ? true : false;<br>type A = IsStr&lt;'a' | 1&gt;; // boolean (true | false)<br>type B = [ 'a' | 1 ] extends [string] ? true : false; // false</code></pre>
What does <code>infer</code> do in TypeScript? Give an example.	Declares a <b>placeholder</b> inside <code>extends</code> to capture part of a type (element, return, param). Must appear in the true branch to be usable.<br><br><pre><code>type El&lt;T&gt; = T extends (infer E)[] ? E : never;<br>type A = El&lt;string[]&gt;; // string<br>type Ret&lt;F&gt; = F extends (...a: never[]) =&gt; infer R ? R : never;</code></pre>
What is a <code>template literal type</code> in TypeScript? Give an example.	Builds string-literal unions via <code>`...${T}...`</code>. Unions expand to the <b>cross product</b>; combine with <code>Uppercase / Capitalize</code> and mapped <code>as</code>.<br><br><pre><code>type Ev = `on${'Click' | 'Change'}`; // 'onClick' | 'onChange'<br>type M = `get${Capitalize&lt;'name' | 'age'&gt;}`; // 'getName' | 'getAge'</code></pre>
What is a <code>recursive type</code> in TypeScript? Give an example.	A type that <b>refers to itself</b> to model nested data (trees, JSON, linked lists). Use object / array indirection — bare <code>type X = X</code> is circular and illegal.<br><br><pre><code>type Tree = { value: number; kids?: Tree[] };<br>type Json = string | number | boolean | null | Json[] | { [k: string]: Json };</code></pre>
How do you write <code>DeepPartial / DeepReadonly</code> with recursive mapped + conditional types? Give an example.	Recurse only into <b>objects</b>: if <code>T</code> extends object, map each <code>K</code> to the deep version, else keep <code>T</code> as-is to stop recursion.<br><br><pre><code>type DeepPartial&lt;T&gt; = T extends object ? { [K in keyof T]?: DeepPartial&lt;T[K]&gt; } : T;<br>type A = DeepPartial&lt;{ a: { b: number } }&gt;; // { a?: { b?: number } }</code></pre>
What are the <code>limits of recursion</code> in TypeScript types? Give an example.	Too-deep or infinitely-expanding recursion hits <b>instantiation depth</b> errors. Guard with base cases, avoid distributing over huge unions, prefer <code>interface</code> for object cycles.<br><br><pre><code>// type Bad = Bad[]; // Error: circular<br>type Safe = string | Safe[]; // ok: base case + indirection<br>// Deep&lt;T&gt; needs T extends object ? ... : T guard</code></pre>
What is an <code>external module</code> in TypeScript? Give an example.	Any file with top-level <code>import / export</code>. The modern way to share code — use it instead of namespaces for all new code.<br><br><pre><code>// math.ts<br>export function add(a: number, b: number) { return a + b; }<br>// app.ts<br>import { add } from './math';<br>add(1, 2);</code></pre>
What is a <code>namespace</code> in TypeScript? When to use it? Give an example.	Legacy <b>internal module</b> grouping code under one name (compiles to an IIFE / object). Only for old globals or generated <code>.d.ts</code> — prefer external modules otherwise.<br><br><pre><code>namespace Shapes {<br> export interface Circle { r: number }<br> export function area(c: Circle) { return Math.PI * c.r ** 2; }<br>}<br>Shapes.area({ r: 2 });</code></pre>
What is an <code>ambient module / ambient declaration</code>? Give an example.	A <code>declare module '...'</code> (usually in <code>.d.ts</code>) describing untyped JS or assets. Adds types with <b>no runtime code</b>; wildcards cover images / CSS.<br><br><pre><code>// globals.d.ts<br>declare module '*.css';<br>declare module 'untyped-lib' {<br> export function run(x: string): void;<br>}</code></pre>
What is <code>module augmentation</code> in TypeScript? Give an example.	Extending a library's types via <code>declare module 'lib' { ... }</code> in your own file. The file must be a <b>module</b> (have an import/export), merging adds to the original.<br><br><pre><code>import 'express';<br>declare module 'express-serve-static-core' {<br> interface Request { userId?: string }<br>}</code></pre>
What is <code>namespace augmentation / merging</code> in TypeScript? Give an example.	Multiple <code>namespace N { ... }</code> blocks with the same name <b>merge</b>; namespaces also merge with same-named class / function / enum to add statics or nested types.<br><br><pre><code>namespace A { export const x = 1; }<br>namespace A { export const y = 2; }<br>A.x; A.y; // merged<br>function f() {}<br>namespace f { export const v = 1; } // statics on f</code></pre>
What is <code>global augmentation</code> in TypeScript? Give an example.	Adding to the global scope from inside a <b>module</b> via <code>declare global { ... }</code>. Use for <code>globalThis</code> polyfills or widening globals like <code>NodeJS.Env</code>.<br><br><pre><code>export {}; // make this file a module<br>declare global {<br> var myAppVersion: string;<br> interface String { hash(): string }<br>}</code></pre>
What is a <code>generic</code> function / class / interface (<code>&lt;T&gt;</code>) in TypeScript? Give an example.	A placeholder type inferred per use, so one definition works for many types. TS infers <code>T</code> from arguments unless given explicitly.<br><br><pre><code>function id&lt;T&gt;(x: T): T { return x; }<br>id('hi'); // T = string<br>id&lt;number&gt;(1); // explicit<br>interface Box&lt;T&gt; { value: T }</code></pre>
What does a generic <code>extends</code> constraint do in TypeScript? Give an example.	Limits what <code>T</code> can be, so you can use those members inside the body. Unconstrained <code>T</code> is nearly <code>unknown</code>.<br><br><pre><code>function len&lt;T extends { length: number }&gt;(x: T) { return x.length; }<br>len('hi'); // ok<br>// len(1); // Error: no length</code></pre>
What is the <code>K extends keyof T</code> generic pattern in TypeScript? Give an example.	Keeps a key and its value type <b>in sync</b> via indexed access <code>T[K]</code>. Safer than <code>(o, k: string)</code>.<br><br><pre><code>function get&lt;T, K extends keyof T&gt;(o: T, k: K): T[K] { return o[k]; }<br>get({ name: 'Ann', age: 3 }, 'age'); // number<br>// get({ name: 'Ann' }, 'age'); // Error</code></pre>
What does a generic <code>default</code> (<code>&lt;T = ...&gt;</code>) do in TypeScript? Give an example.	Fallback type when inference / explicit args give nothing. Must come after required params.<br><br><pre><code>interface Store&lt;T = string&gt; { v: T }<br>const a: Store = { v: 'hi' }; // string<br>const b: Store&lt;number&gt; = { v: 1 };</code></pre>
What do <code>in / out</code> variance annotations (TS 4.7+) do on generics? Give an example.	Declare <code>T</code> as input-only (<code>in</code>) or output-only (<code>out</code>) for stricter assignability checks and faster inference.<br><br><pre><code>interface Producer&lt;out T&gt; { get(): T }<br>interface Consumer&lt;in T&gt; { put(x: T): void }</code></pre>
What does a <code>const</code> type parameter (TS 5.0+) do in TypeScript? Give an example.	Infers the <b>narrowest literal / readonly</b> type, like adding <code>as const</code> to that argument. Keeps tuples readonly.<br><br><pre><code>function f&lt;const T&gt;(x: T) { return x; }<br>f(['a', 'b']); // readonly ['a', 'b'], not string[]<br>f({ m: 'dev' }); // { readonly m: 'dev' }</code></pre>
What is <code>readonly T[] / readonly [A, B]</code> in TypeScript? Give an example.	A compile-time-only read-only view: no <code>push / pop / [i] =</code>. Plain <code>T[]</code> is assignable to readonly, not vice versa.<br><br><pre><code>const a: readonly number[] = [1, 2];<br>// a.push(3); // Error<br>// a[0] = 9; // Error<br>function sum(ns: readonly number[]) { return ns.length; }</code></pre>
What is a <code>variadic tuple</code> (<code>[...T]</code>) in TypeScript? Give an example.	Spreads a generic tuple inside another tuple to type <code>concat / curry / rest</code> precisely. No runtime tuple — plain Array.<br><br><pre><code>type Pair&lt;T extends unknown[]&gt; = [first: string, ...rest: T];<br>type A = Pair&lt;[number, boolean]&gt;; // [string, number, boolean]</code></pre>
What is the difference between <code>interface</code> and <code>type</code> in TypeScript? Give an example.	<code>interface</code>: object shape, supports <code>extends</code> + merging, better errors. <code>type</code>: any alias (unions, tuples, mapped, conditional), supports <code>&amp;</code> composition.<br><br><pre><code>interface A { x: number }<br>type B = A &amp; { y: string }; // intersection<br>type U = 'a' | 'b'; // union: type only<br>// interface U = ... // Error</code></pre>
What is <code>declaration merging</code> in TypeScript? Give an example.	Multiple same-named <code>interface</code>s merge members; <code>type</code> aliases cannot redeclare. Catches accidental duplicates vs intentional extension.<br><br><pre><code>interface A { x: number }<br>interface A { y: string } // merged: { x, y }<br>// type B = string; type B = number; // Error: duplicate</code></pre>
What is the difference between <code>implements</code> and <code>extends</code> for classes? Give an example.	<code>extends</code> inherits runtime code + types (one parent). <code>implements</code> only checks the <b>shape</b> against an interface, emits nothing.<br><br><pre><code>interface Fly { fly(): void }<br>class Bird extends Animal implements Fly {<br> fly() {}<br>}</code></pre>
What do <code>abstract</code> classes and <code>override</code> do in TypeScript? Give an example.	<code>abstract</code> cannot be instantiated; subclasses must fill abstract members. <code>override</code> (+ <code>noImplicitOverride</code>) marks intentional method replacement.<br><br><pre><code>abstract class A { abstract m(): void; }<br>class B extends A { override m() {} }<br>// new A(); // Error: abstract</code></pre>
What are constructor <code>parameter properties</code> in TypeScript? Give an example.	Shorthand that declares + assigns a field from a constructor param. Emits runtime code, so banned under <code>erasableSyntaxOnly</code>.<br><br><pre><code>class C { constructor(private x: number, readonly y = 1) {} }<br>new C(2).x; // Error: private (but exists at runtime)</code></pre>
What is the difference between <code>private / #private / protected</code> in TypeScript? Give an example.	TS <code>private</code>: compile-time only, structural exception. <code>#x</code>: runtime-hard ECMAScript private. <code>protected</code>: visible to subclasses only.<br><br><pre><code>class C { private a = 1; #b = 2; protected c = 3; }<br>class D extends C { f() { return this.c; } } // ok<br>// new C().a; // Error (TS) — new C().b; // SyntaxError (runtime)</code></pre>
What do getters / setters (<code>get / set</code>) do in classes? Give an example.	Computed property access with method bodies. Type must match; use a <code>#field</code> backing store to avoid recursion.<br><br><pre><code>class C { #n = 0; get n() { return this.#n; } set n(v: number) { this.#n = v; } }<br>const c = new C(); c.n = 2; c.n; // 2</code></pre>
What is a <code>static block</code> in a class? Give an example.	<code>static { ... }</code> runs once at class definition for complex static init (caches, validation). Can access private statics.<br><br><pre><code>class C { static cache = new Map(); static { C.cache.set('k', 1); } }<br>C.cache.get('k'); // 1</code></pre>
What are <code>decorators</code> in TypeScript (legacy vs standard)? Give an example.	Annotations that wrap classes/members. Legacy <code>experimentalDecorators</code> differs from TC39 standard (TS 5.0+); both emit code, so both fail <code>erasableSyntaxOnly</code>.<br><br><pre><code>function Log(m: unknown, ctx: ClassMethodDecoratorContext) { return m; }<br>class C { @Log greet() {} }</code></pre>
